Month_Year,URL,Title,Title,Date,Description,
August 2017,https://little-berlin.squarespace.com/calendar/2017/8/5,Lógos,LÓGOS,"

          Saturday, August 5, 2017


            6:00 PM
            18:00




          Saturday, August 26, 2017


            10:00 PM
            22:00


        ","λόγος (Lógos) considers the Postructuralist premise that the distinctions we make are not necessarily given by the world around us, but are instead produced by the symbolizing systems we learn. The Greek term “Lógos” has no direct translation to English but can be understood as a reference to philosophical Reason, meaning, or word. This exhibition investigates the role that design plays in three geographically disparate studio practices, functioning as a pragmatic approach to production and as a counterpoint to the meaning derived from appropriated material and synthetic symbolism.

 

With new processes and an endless list of new materials at their disposal, the artist, craftsman, and designer now suffer from the tyranny of absolute choice. When everything becomes possible, when all the limitations are gone, design and art can easily become a never-ending search for novelty [or meaning], and the desire for novelty on the part of the artist becomes an equally strong desire for novelty on the part of the spectator and consumer, until newness-for-the-sake-of-newness becomes the only measure. It is at this point that many different versions of novelty begin to create many different esoteric consumer cliques, and the designer with their wares may become more and more alienated from their society and the functional complex.

-Victor Papanek, “Design for the Real World”",x
July 2017,https://little-berlin.squarespace.com/calendar/syntbbq,SYNTH BBQ,SYNTH BBQ,"Sunday, July 23, 2017","SUNDAY 12-3PM SYNTH BBQ

in the Little Berlin courtyard (in Annex if ☔️) !! Open Grill! Bring some food to throw on! Featuring many local synthesizer performers.",x
June 2017,https://little-berlin.squarespace.com/calendar/2017/6/21/tnmot-aztro-pre-reflections-on-the-projector-series,TNMOT AZTRO: Pre-Reflections on THE PROJECTOR SERIES,TNMOT AZTRO: PRE-REFLECTIONS ON THE PROJECTOR SERIES,"Wednesday, June 21, 2017","Eric Preisendanz of Little Berlin and Vox Populi are excited to host a public discussion about ambition, money, race, and DIY culture with Arien Wilkerson, Director of TNMOT AZTRO’s “Projector Series”.  This conversation is meant to stimulate a deeper self-investigation that shall conclude with new awareness and emergent connections built together through the act of guided self-reflection, activated again during the following 3 night, 6 show performance at Vox Populi. The initial guiding questions are not confining or determined to:

 

As we contemplate the modern erosion of philanthropy-based cultural funding sources, what resource and options exist or must be created (or re-created) and distributed for privileged or nonprivileged artists seeking to establish their craft? How do we normalize and act with equality in the arts with finite fiscal resources instead of rhetoric?

 

As DIY galleries are predominantly lead by white art school graduates, how can their assembly and agency create a support system for POC artists? Do they have inclusion obligation, even within the system of autonomous or independent curation? What is a sustainable and fair curatorial model, if one exists?

 

DIY Galleries and artists are typically membership driven. At a currently challenging figure, Little Berlin is still essentially only able to afford rent (Author is treasurer). Certainly inaccessible to many emerging artists that would want to be members, the agency created by the micro/’non’-institution actually owns some of the responsibility to offer discounted rental rates, if any, to those of less privilege. How is this done fairly and sustainably?

 

Tnmot Aztro is a 7 person dance company from Hartford, CT, led by Director Arien Wilkerson Established in 2016, Tmnot Aztro has created movement experiences for sold out audiences across the east coast. The company’s performances have found success  at art galleries, institutions and incubator spaces such as The Historic Town and County Club of Hartford, the Wadsworth Atheneum, University of Saint Joseph, Scapegoat Garden Center for Contemporary Dance, Ted Hershey Dance Marathon, New Britain Museum of Art, Connecticut Dance Alliance, and the CT Dance Awards.

 

Arien Wilkerson is an award winning choreographer, and movement, video, and installation artist. The Hartford, CT native began his dance training within the wisdom of Jolet Creary, and has been a student at the Greater Hartford Academy of the Arts, The Artists Collective, Earl Mosley Institute of the Arts, and the Batsheva Dance Company’s ""Gaga Intensive"" in Tel Aviv, Israel. In 2008, he was a scholarship recipient for travel to Cape Verde, Africa to participate in CulturArte, a youth arts residency program. There, he studied with Deborah Goffe (Artistic Director of Scapegoat Garden) and Mano Preto (Artistic Director of Raiz di Polon). In his role as founder and Artistic Director of TNMOT AZTRO, Arien has been commissioned by Hartford’s Town & County Club to develop his sold-out show BLACK BOY JUNGLE, which went on to sell out the Wadsworth Atheneum. As an Artist in Residence at The Garden Center for Contemporary Dance (2013-2014), Arien developed three iterations of ""The Projector Series. The fourth iteration of The Projector Series went on to being the first sold out dance performance at its venue Real Art Ways in 40 years, selling out all 3 nights.   Arien served as co-facilitator for the Invisible City Project Cooperative, a space and program with the goal of supporting Greater Hartford dance artists in making their best work. Wilkerson was recently named Take Magazine’s 2017 ""Artist to Watch"".

 

6-8pm, June 21. 2430 E coral street, Philadelphia PA, 19125              Suggested Donation $4 (nobody turned away)

 

TICKETS OUT NOW: www.theprojectorseries.bpt.me

 

Location: N 11th #3 Philadelphia PA 19107 (Vox Populi)

Date and Time: June 22nd, 23rd, 24th Performances at 7pm and 9pm each night.

SLIDING SCALE DOOR ENTRY $1O - $15 DOLLARS

Curated by Jim Strong, Vox Populi

Installation designed by: Arien Wilkerson and Joe McCarthy

                Sound Designer/Composer: Wrex Mason

                Pre-Show Performances: Wrex Mason | domsentfrommars

 

New Cast: Kailah King, Henry Olivo, Erica Nelson, Lauren Horn, Brian Syms Jr, Joseph Heitman Arien Wilkerson.",x
May 2017,https://little-berlin.squarespace.com/calendar/2017/5/16/arcadia-indiana,"Arcadia, Indiana","ARCADIA, INDIANA","Saturday, May 20, 2017","Arcadia, Indiana

May 20th

8 pm in the annex

Mark McCloughan and Toby Altman present a performance by Mark McCloughan of excerpts from Toby Altman's Arcadia, Indiana (Plays Inverse, 2017). Arcadia, Indiana is a mutant tragedy, a five act-sonnet sequence, staged in the trash-choked landscape of pastoral fantasy. It plays with narrative, labor, sexuality, and form, starting with a murder in an Indiana steel factory and ending with the Sphinx refusing all of Oedipus’ solutions to her riddles. This play is a Renaissance tragedy in contemporary drag, destabilizing literary boundaries to develop a poetics of trash, in which the repressed and discarded parts of (literary) history return to strangle their point of origin. 

 

Additional readings by Mel Bentley, Davy Knittle, Kao Kue, and Michelle Myers.

 

 ",x
April 2017,https://little-berlin.squarespace.com/calendar/2017/3/16/found,FOUND,FOUND,"

          Sunday, April 2, 2017


            2:00 PM
            14:00




          Wednesday, April 26, 2017


            3:00 PM
            15:00


        ","FOUND
APRIL 8- 23RD, 2017

Featuring artwork by Kaitlin Pomerantz, Stephanie Bursese, Natalie Kuenzi, Kasey Toomey, Meghan Howland, Leon Xu and Will Owen

Curated by Terrill Warrenburg",x
March 2017,https://little-berlin.squarespace.com/calendar/2017/2/23/magali-duzant-a-means-to-measure,Magali Duzant: A Means To Measure,Magali Duzant: A Means To Measure,"

          Saturday, March 4, 2017


            11:00 AM
            11:00




          Sunday, March 26, 2017


            12:00 PM
            12:00


        ","MAGALI DUZANT
A Means To Measure
Little Berlin
March 4-26, 2017
Opening reception: Saturday, March 4, 6-9pm
Closing reception: Sunday, March 26, 3-5pm
Little Berlin is pleased to present ""Magali Duzant: A Means To Measure.""

Location: Little Berlin

Exhibition: March 4-26, 2017

Opening reception: Saturday, March 4, 6-9pm

Gallery Hours: Sundays 1-4 and by appointment.",x
January 2017,https://little-berlin.squarespace.com/calendar/2017/1/16/members-exhibition,Member's Exhibition,MEMBER'S EXHIBITION,"

          Monday, January 16, 2017


            10:00 AM
            10:00




          Monday, February 20, 2017


            11:00 AM
            11:00


        ","Celebrating 10 years of Little Berlin, the current members are pleased to share a selection of their own current work.

Our History

Opening reception: Saturday January 28th, 7-9pm

Please email berlin.little@gmail.com for appointments and inquiries",x
December 2016,https://little-berlin.squarespace.com/calendar/2016/12/3/after-school-special-varsity,After School Special: Varsity,After School Special: Varsity,"

          Saturday, December 3, 2016


            4:00 PM
            16:00




          Wednesday, December 28, 2016


            5:00 PM
            17:00


        ","After School Special Presents: Varsity

Curated by: Brett Erich Suemnicht

 

November 3-28, 2016 at Little Berlin

Opening Reception: Saturday, 12/3, 6-10 PM

Gallery Hours: Sundays 2-6pm

After School Special is an organization headed by a collective of artists seeking community engagement through nontraditional exhibitions, film screenings, queer events, informal classes, applicable workshops, malleable dialogue, and everything in between. As a group of working and emerging artists, they seeks to support creative individuals of a similar stature by providing opportunities for under recognized, socially engaged, young makers. A.S.S. engages art and community at a local, national, and international level in hopes of becoming part of the larger cultural discussion that defines us all. We are not bound by walls, but by the value of ideas and the people behind them.

Their collective is currently based out of a raw space in the Riverwest neighborhood of Milwaukee, WI.

Artists: Stephanie Lane Gage, DeAnn Guenterberg, Rachel Hausmann, Zach Hill, Elina Johann, Kayle Karbowski, Peter Klett, Kister Larson, and  Jasmine McMasters

Please contact berlin.little@gmail.com for additional appointments and inquiries.

About the venue: Little Berlin, 2430 Coral Street, Philadelphia, PA 19125 littleberlin.org

Curator contact: bsuemnicht@gmail.com bretterichsuemnicht.com

After School Special contact: afterschoolspecialmke@gmail.com  http://afterschoolspecial.info/

 ",x
November 2016,https://little-berlin.squarespace.com/calendar/2016/11/5/swing-state,SWING STATE,SWING STATE,"

          Saturday, November 5, 2016


            5:30 PM
            17:30




          Sunday, November 27, 2016


            6:30 PM
            18:30


        ","SWING STATE

AN EXHIBITION OF TOPOGRAPHY AND BODY
Curated by Rebekah Flake
 

November 5-27, 2016 at Little Berlin
Opening Reception: Saturday, November 5th, 6-10 PM
Post-Election Recovery Roundtable, Tuesday, November 15th, 7 PM
Closing Reception and Catalog Release, Sunday, November 27th, 3-5 PM

SWING STATE examines the intersection of self and site. Each work of art in this group exhibition stems from the artists' highly personal responses to the power dynamics of place on the embodied subject. The selected projects reveal a few of the topographic peaks and canyons of the American cultural landscape. From the art spaces of Philadelphia to the rural swamps of the American South to the feminist archives to the evening news, these artists traverse different American territories, and reveal a handful of the complicated and seductive social conditions we face in this moment of choosing (or dreading) our next President.

In addition to the opening reception, a Post-Election Recovery Roundtable will be held one week following the closing of the polls. After a live performance and satirical gallery tour by Kristen Mills, the group will discuss how we individually and collectively plan to move forward post election. What are the dangers / what are the benefits facing artists? the city? the country? How do we personalize the changes to our communities?
All are welcome.

ARTISTS: RAZAN AL-SALAH, ANTONY ANDERSON, ROXANA AZAR, RAJEEV BALASUBRAMANYAM, AMY COUSINS, BRANDON DEAN, JEREMY DENNIS, JENN DIERDORF, JEN DUNLAP, DIMITRA ERMEIDOU, BRYANT GIRSCH, SHABRIA GOODE, JAIME ERIN JOHNSON, PATRICIA MCELROY, ANGIE MELCHIN, KRISTEN MILLS, JEN NUGENT
GALLERY HOURS: SUNDAYS 2-6 PM. PLEASE CONTACT BERLIN.LITTLE@GMAIL.COM FOR ADDITIONAL APPOINTMENTS AND INQUIRIES.
ABOUT THE VENUE: LITTLEBERLIN.ORG
ABOUT THE CURATOR: HTTP://WWW.LITTLEBERLIN.ORG/REBEKAH

RSVP ON FACEBOOK 

 ",x
October 2016,https://little-berlin.squarespace.com/calendar/2016/10/14/philadelphia-goddamn,"Philadelphia, GODDAMN.","PHILADELPHIA, GODDAMN.","

          Friday, October 14, 2016


            4:30 PM
            16:30




          Sunday, October 30, 2016


            5:30 PM
            17:30


        ",,x
September 2016,https://little-berlin.squarespace.com/calendar/2016/9/2/villus,Villus,VILLUS,"

          Friday, September 2, 2016


            7:00 PM
            19:00




          Monday, September 26, 2016


            6:00 PM
            18:00


        ","VILLUS

September 3rd - 25th

Little Berlin

2430 Coral St

Philadelphia, PA 19125

United States

Opening:
Saturday September 3rd 5 - 9pm
Artist Dinners:
3 Saturdays in September 10, 17, 24
Gallery Hours:
Fridays throughout the exhibition 6-8pm

Saturdays & Sundays throughout the exhibition 2- 5pm

By Appointment: will.e.owen@gmail.com  // +828.226.6083

Curated by Will Owen

www.LittleBerlin.org",x
August 2016,https://little-berlin.squarespace.com/calendar/2016/8/17/gallery-copy,Gallery Copy,GALLERY COPY,"

          Wednesday, August 17, 2016


            6:00 PM
            18:00




          Monday, August 29, 2016


            4:00 PM
            16:00


        ","Little Berlin is pleased to present Jim Grilli: ""Gallery Copy"" on view in The Annex from August 17th through August 29th 2016. This will be the artist’s first show with the gallery. Please join us on August 20th at 7:00 for a reading by the artist followed by a reception.

Gallery Copy is a project that comprises three aspects of Grilli’s studio practice: appropriation, prose writing, and public reading. 

Selected objects in the exhibition are juxtaposed with literary fragments written by the artist that serve as makeshift wall labels. Each scrap of paper offers an allegorical justification for the appearance of the corresponding item. Some of the arrangements unaccompanied by writing play the role of quirky theatrical props that the artist will interact with during his reading, while others remain opaque in their placement. Throughout the show there is a tension between the homely appearance of the objects and what the snippets of narrative convey about their histories as enigmatic formations. 

Through activating the contents of the gallery the reading will transform the environment into a stage set of sorts as it duplicates and contradicts “the script” of the exhibition available in booklets for attendees to peruse. These two texts: one available as an oratorical statement, the other as an unrealized theatre script, convey to the reader/listener a multi-sided personae that struggles in vain to articulate a specific condition of alienation.

These three components are placed in dissonant conversation with one another to create an atmosphere that problematizes the roles works of art simultaneously play as potential instruments of financial speculation and mundane interventions that radically change the character of a given space.",x
July 2016,https://little-berlin.squarespace.com/calendar/2016/7/29/bryant-girsch-americana-tropicana,Americana Tropicana,AMERICANA TROPICANA,"

          Friday, July 29, 2016


            6:00 PM
            18:00




          Sunday, July 31, 2016


            4:00 PM
            16:00


        "," 

 ",x
June 2016,https://little-berlin.squarespace.com/calendar/2016/6/24/community-room,Community Room,COMMUNITY ROOM,"Friday, June 24, 2016","Founded in Richmond, VA in 2014, Community Room is dedicated to creating opportunities for live artists. We actively support multimedia artists, musicians, dancers, performers, presenters, cross disciplinary makers, socially active artists and those who seek to push the genre boundaries of “art”.

Come by the Little Berlin Annex space for an evening of live art consisting of musical acts, videos, presentaions, performance art and more. You won't want to miss this!

There is an interactive work that involves produce and juicing, please bring produce of any kind if you are interested in participating :) Thanks!

Videos by:
Pallavi Sen - http://pallavi-sen.com/
Lindsay Garcia - http://www.lindsaygarcia.com/
Jen Swegan - instagram: @hocketing

Performances / Presentations by:
(In order of appearance)
Ha Tran (aka Ha transplant) - instagram: @ha_nt
Skye Carter (aka The Lube Fairy) - http://www.thelubefairy.com/
YaYa (Lucia Liu) - https://yayarva.bandcamp.com/releases
gemtone (Rachel Ludwig) - https://gemtonemusic.bandcamp.com/

Ongoing work by:
Janelle Proulx - http://www.janelleproulx.com/
Brandon Hurtado -http://tsintsi.virb.com/
Lindsay Parnell - http://www.lindsayparnell.com/ and . . .
Natasha Kovacs - https://natashakovacs.wordpress.com/

This event is free but donations will be appreciated! 

Some content may not be safe for younger viewers xxx",x
May 2016,https://little-berlin.squarespace.com/calendar/2016/5/28/falolo4ever,Falolo4ever,FALOLO4EVER,"

          Saturday, May 28, 2016


            6:00 PM
            18:00




          Friday, June 10, 2016


            8:00 PM
            20:00


        ","Falolo (Fah-­lóh-­loh) ­ 
1. Something more than awesome. It is the best thing ever. (From the Urban Dictionary)

Falolo 4Ever questions such paradigms as “traditional lifestyle”, the Latin American construct and gender normativity by exploring non­whiteness, post­colonialism, regional language and sex positivity.

All artists included in this exhibition attended TrueQué Residency 2016 http://www.trueque.work/ TrueQue is a residence for emerging artists, activists and cultural managers whose practice reflects on being latin American inside and outside Ecuador. TrueQue seeks to create a space or creative exploration where research, networking and cross­disciplinary practices become an integral part of the process of creating art . 

During the TrueQue residency, there was much discussion regarding gender, physicality and language. Americanisms such as the word “queer” become globally adopted, sometimes having lasting effects unforeseen by those that coined the term. In North America, sometimes we forget that we are part of a larger continent also dealing with the aftermath of Colonialism and violently enforced heteronormativity. Falolo 4Ever seeks to act as a reminder that queerness is greater than sexual preference, more encompassing than a first­world movement granting us access to the bathroom of our choice. Queerness is a reminder that consent comes first, and that as adult humans we have the right to give our hearts and bodies to whomever we choose. 
 

Satuday May 28 ­ Opening Reception 6­-9pm
Friday, June 3 ­ Exhibition open to the public
Saturday, June 4 ­ Annex open with main gallery exhibition
Thursday, June 9 ­ Closing Reception 6­-8pm

Participating Artists: Stephano Espinoza Galarza (Ecuador), Cristobal Guerra Naranjo (Puerto Rico), Gabriela Marquez (Chile), Abril Montealegre Barros(Chile), Lola Perla (Mexico), PachaQueer (Ecuador), Juliana Romero Hillman (Argentina), Ana Vizcarra Rankin(Uruguay).


On opening night, curator Brett Suemnicht will be releasing the zine Falolo 4Ever through GenderFail Press. The artist book will be comprised of images and text from the participating artists in the exhibition. A portion of the sales from the artist book will benefit TrueQue residency. 

Artist Stephano Spinoza Galarza will also be leading a performance piece titled Ni Chicha Ni Lemonade on opening night.

Little Berlin is a cooperative exhibition space run by approximately 10 people who curate the space using a collaborative, do­it­yourself ethic. Located in Kensington, we feature emerging and established artists from the neighborhood, from around Philadelphia, and from across the country.

2430 Coral Street Philadelphia PA 19125 berlin.little@littleberlin.org

Curators: Ana Vizcarra Rankin and Brett Suemnicht

Brett Suemnicht - bsuemnicht@gmail.com
Ana Vizcarra Rankin ­- paintedfoot@gmail.com
TrueQue Residency ­- truequeresidencia@gmail.com",x
April 2016,https://little-berlin.squarespace.com/calendar/2016/4/11/jet-lag-solo-works-by-julie-bitsch-dk,Jet Lag: Solo Works by Julie Bitsch (DK),JET LAG: SOLO WORKS BY JULIE BITSCH (DK),"

          Saturday, April 23, 2016


            5:00 PM
            17:00




          Friday, May 6, 2016


            9:00 PM
            21:00


        ","""Plants grow and whither, salt sets, bodies deteriorate whilst human being stumbles ahead of itself – always one step behind."" – Julie Bitsch

About the show

Through an elaborate installation of plaster and bronze imprints, human hair and nails, water, salt, ready-mades and infinite amounts of vacuum Danish artist Julie Bitsch explores the peculiar temporality of contemporary, globalized culture. With odd humor, acute material intelligence and elusive political annotations Bitsch creates an exhibition-event that plays out in the gap between the perpetual 'getting there' and simply being here. 

About the artist

Julie Bitsch (b. 1979) holds an MFA from the royal academy of Copenhagen (2010) and has exhibited her work in Europe, China and recently Cuba; Jet Lag will be Bitsch' first exhibition in the US.

INFO

Title: Jet Lag
Artist: Julie Bitsch (DK)
Location: Little Berlin (annex space)
Opening: 23./4. from 5 PM – 9 PM
Exhibition period: 24./4. – 6./5. 2016
Finisage: 6./5. from 5 PM – 9 PM
Opening hours: TBA + by Appointment : 828-226-6083 or Will.E.Owen@gmail.com
Links: www.littleberlin.org, www.juliebitsch.com
Curated by: Will Owen",x
March 2016,https://little-berlin.squarespace.com/calendar/2016/3/26/gallery-hours-for-platform-gallery-x-little-berlin-exchange,Gallery Hours for Platform Gallery x Little Berlin Exchange,GALLERY HOURS FOR PLATFORM GALLERY X LITTLE BERLIN EXCHANGE,"Saturday, March 26, 2016",,x
December 2015,https://little-berlin.squarespace.com/calendar/2015/11/13/trust-falls,TRUST FALLS,TRUST FALLS,"Saturday, December 19, 2015","Please join us for TRUST FALLS, our annual fundraiser and group exhibition featuring works by current Little Berlin members. We will be offering warm food and drinks, art, music and performances.

Work and Performances by

PETER ERICKSON

MADDIE HEWITT

ETHAN PATRICK SHERMAN

LUKE LEYDEN

WILL OWEN

MARIANA TEMPLIN

ERIC DANGER CLARK",x
November 2015,https://little-berlin.squarespace.com/calendar/2015/11/29/closing-reception-for-pivot,Closing Reception for Pivot,CLOSING RECEPTION FOR PIVOT,"Sunday, November 29, 2015",,x
October 2015,https://little-berlin.squarespace.com/calendar/2015/10/24/coming-to-terms-gallery-hours,Coming to Terms: Gallery hours,COMING TO TERMS: GALLERY HOURS,"Saturday, October 24, 2015","Yvonne Lung

Kevin McNamee-Tweed

James Sham

Karen Elaine Spencer

 

Coming to Terms is a group exhibition dissecting the limitations of language. The show features work from four artists who mythologize the meaning of words, show gradual adaptations in storytelling, and expose the inevitable misunderstandings that emerge from multiple forms of communication.

The exhibition includes a range of media, such as videos with subtitles and eye-tracking technology, sumi ink drawings, handmade flyers, takeaway postcards, and self-published newspapers. Varied techniques of expression attempt to simulate the different ways information is distributed. Debate, reenactment, interpretation, translation, storytelling, handwriting, letters, advertising, and journalism are considered, corresponding in a frantic, nonverbal call-and-response to uncover the indefinable. 

Coming to Terms shows the contradiction of language interpretation; the inadequacies of the rational mind to “come to terms”, and the point at which we leave those terms behind. This empathetic study calls attention to the paradoxes inevitable in language, bringing us closer to the creation of alternative, newer forms of expression.

Curator Maddie Hewitt continues with similar themes and tactics from her last exhibition at Little Berlin, Hard To Please. Her curatorial projects reveal her preoccupation with omnipresent human desires, disposition, and language in order to understand human interaction and its struggles.

 

RSVP on Facebook",x
September 2015,https://little-berlin.squarespace.com/calendar/2015/9/23/uncommons-closing-reception,UNcommons closing reception,UNCOMMONS CLOSING RECEPTION,"Wednesday, September 23, 2015","Please join us for the closing reception of UNcommons, featuring a performance by chukwumaa and the unveiling of a new, site-specific artwork. Refreshments will be provided.

The exhibition will be open to the public this Saturday and Sunday from noon to 5PM.",x
August 2015,https://little-berlin.squarespace.com/calendar/2015/8/22/praxis-visual-time,Praxis: Visual Time,PRAXIS: VISUAL TIME,"Saturday, August 22, 2015","PRAXIS: VISUAL TIME
AUGUST 22ND
7P-9:30P
""EVERY EXPERIENCE OF A WORK OF ART IS,
AMONG OTHER THINGS, A CONFRONTATION WITH
THE TIME THAT SEPARATES IT FROM ITS VIEWER.""
-AMY KNIGHT POWELL

 ",x
July 2015,https://little-berlin.squarespace.com/calendar/2015/7/19/artscape-2015-alternative-art-fair,Artscape 2015 Alternative Art Fair,ARTSCAPE 2015 ALTERNATIVE ART FAIR,"

          Friday, July 17, 2015


            11:00 AM
            11:00




          Sunday, July 19, 2015


            8:00 PM
            20:00


        ","{ RSVP ON FACEBOOK }
ALTERNATIVE GALLERY FAIR
AT THE 34TH ANNUAL ARTSCAPE: JULY 17-19, 2015 
(FRIDAY & SATURDAY: 11AM-9PM AND SUNDAY: 11AM-8PM)

 

GROUND FLOOR OF THE CHARLES STREET PARKING GARAGE 
1714 CHARLES STREET",x
June 2015,https://little-berlin.squarespace.com/calendar/2015/6/20/awful-wrestling-art-wrestling-federation-urban-league,AWFUL WRESTLING: Art Wrestling Federation Urban League,AWFUL WRESTLING: ART WRESTLING FEDERATION URBAN LEAGUE,"Saturday, June 20, 2015","SATURDAY JUNE 20TH 8:00PM

Come on down for a night of artists wrestling AWFULy!

Feel free to come dressed as your favorite wrestler or just as yourself. 

Special guest commentators: 
Rose Luardo & Andrew Jeffrey Wright

Appearances by:
Real American, Forever, Coxmen, 
The Hobo, South Jersey Douch, Knife, 
The Baby Maker, The Sexual Man, 
Jack-Off the Clown & and many more!!!!

 

Organized by Jerry Kaba

https://www.facebook.com/events/453816821445429/",x
May 2015,https://little-berlin.squarespace.com/calendar/2015/5/8/incite-excite-an-evening-of-female-focused-multidisciplinary-art-and-music,"Incite, Excite: an evening of female focused multidisciplinary art and music.","INCITE, EXCITE: AN EVENING OF FEMALE FOCUSED MULTIDISCIPLINARY ART AND MUSIC.","Friday, May 29, 2015","CURATED WITH A FEMINIST LENS, INCITE, EXCITE AIMS TO CREATE A FEMALE RICH GALLERY SHOWCASE BY FEATURING UPRISING LOCAL ARTISTS. IN RESPONSE TO UNDER REPRESENTATION, WE SEEK TO ELEVATE EXISTING VOICES AND FEED THE GROWING MOMENTUM.

VISUALS BY:

Barbarism: (Sarah Secunda & Rebecca Katherine Hirsch) Sweet feminist filmmaking and muckraking. https://vimeo.com/barbarism 

Emma Abad: Emma is an ‘unrealist’ mixed media artist.http://www.emmaabad.com/

Michelle Krysztofiak: Michelle is a punk rocker, pen and ink illustrator, zine maker, and silkscreen printer. http://iamuglymimi.tumblr.com/
 

Colleen Cacace: Colleen is a sentient being who creates immersive installations of varying styles and materials. She is currently making things of the utilitarian craft.

WORDS BY: 

Dianca London: Dianca is a writer, music blogger, and follower of the fictive craft. Her work has been featured in New Wave Vomit, APIARY Magazine, Hyphen, and her Tumblr. http://apiarymagazine.com/apiary-4/dianca-potts-its-like-touching/

Humble Mumbles: (Rebecca Katherine Hirsch) A bumptious feminist podcast of a social-psychological nature featuring searing cultural criticism, psychological investigation and interstitial singing,humblemumbles.bandcamp.com (also on iTunes)

Kitty Tooher: Kitty is a chaotic curl of a poet currently digesting Philadelphia and its people one dramatic and intriguing moment at a time.www.beforeileavezine.com

Nicole Bonaccorso: Nicole is a poet from Northern New Jersey who has forged her own style of standup comedy poetry. She is currently an editor atweather.com, where she gets to write about tornadoes, nature, science, travel and cute animals.

Nicole Steinberg: Nicole is the author of Getting Lucky and three chapbooks, and her work has been featured or reviewed in The New York Times, Newsweek, Flavorwire, Bitch, Hyperallergic, and elsewhere.nicolesteinberg.com


MUSIC BY:

Alternative McDonalds: former members of Prewn https://prewn.bandcamp.com/

Control Top: no preview, secrets to discover. 

Borrow Me: a collaborative electronic music project between laura fisher and kara morgan 

https://soundcloud.com/phantosmia //https://soundcloud.com/sad_hana

Little Strike: http://littlestrike.com/

Shakai Mondai: https://soundcloud.com/shakaimondai


PERFORMANCE BY:
 

TCHOTCHKES: Souvenirs for your sad-sack memories from your long-lost aunties Marybeth and Edna Rae (a.k.a. Najee Haynes-Follins and Petra Floyd)




Friday, May 29th
6pm
Little Berlin
$5-7 Donation

DISRESPECT NOT TOLERATED

contact: karstenslauren@gmail.com",
April 2015,https://little-berlin.squarespace.com/calendar/2015/4/25/byob,B.Y.O.B.,B.Y.O.B.,"Saturday, April 25, 2015","BYOB is a one-night event for anyone to bring their own projectors (LCD, overhead, slide, DIY). BYOB was founded by Rafaël Rozendaal in 2010 and has become a global phenomenon.

www.byobworldwide.com

{ rsvp on facebook }",
March 2015,https://little-berlin.squarespace.com/calendar/2015/3/28/what-was-i,What Was I?,WHAT WAS I?,"Saturday, March 28, 2015","A video installation by Cari Freno with soundtrack by Brandon Eckes
The Annex @ Little Berlin",
February 2015,https://little-berlin.squarespace.com/calendar/2015/2/26/crit-crew-hip-hop-karaoke-nite,CRIT CREW & HIP HOP KARAOKE NITE,CRIT CREW & HIP HOP KARAOKE NITE,"Thursday, February 26, 2015","+++++++++++++++++++++++++++++++++++++
POPULAR LITTLE BERLIN SPECIALTY EVENT
WITH SPECIAL GUESTS FROM COLUMBIA UNIVERSITY MFA DEPARTMENT

OPEN TO ALL

1. Short art critiques of Readymade/Found work only!
2. Hip hop/Pop karaoke

BRING IN A FOUND READYMADE OBJECT. You will be asked to defend it! If you do not bring something, an artwork may be provided for you. Or you will be forced to karaoke. Ideas for readymade art: things found on the street, thrift store finds from Circle Thrift, trash, pizza box stack, etc.

We'll have liquid refreshment on-hand or BYOB.

+++++++++++++++++++++++++++++++++++++

We'll intersperse art with karaoke.

Little Berlin specialties: Missy Elliott, Beyonce, Kanye, Iggy Azalea, Taylor Swift, Rick Ross, Makonnen, 2Chainz, Katy Perry, Das Racist, probably some Britney Spears and Lady Gaga, Young Thug, Biggie, Jay Z, Snoop, Rae Sremmurd, Nicki Minaj. 

$FREE but donations accepted",
January 2015,https://little-berlin.squarespace.com/calendar/2015/1/9/little-berlin-zine-library-600th-zine-celebration,Little Berlin Zine Library 600th Zine Celebration!,LITTLE BERLIN ZINE LIBRARY 600TH ZINE CELEBRATION!,"Friday, January 9, 2015","Little Berlin presents a night of zines and warm beverages!

Little Berlin Zine Library 600th Zine Celebration!
Location: Little Berlin, 2430 Coral Street
Date: January 9 at 6-10PM

In honor of our 600th zine donation, this Friday, January 9 come peruse one of Philadelphia’s largest zine collections at Little Berlin. The Little Berlin Zine Library began by former member and Philadelphia performance artist Beth Heinly in 2009. Since its founding the collection has grown and amassed to its present 600 zines including artist books, catalogs, comix, art criticism journals, poetry, perzines, photozines, fiction and much more. Our newest zines were collected at zine fairs in Baltimore and New York this year and a recent haul of zines from Half Letter Press. While normally available to the public at all of our events on a moving cart in the Little Berlin Annex, on January 9 they will be displayed in our main gallery.

Please bring zines you’d like to donate to the collection, and if you can, bring two. We donate 2nd copies to Temple University’s Special Collections for the new Little Berlin Zine Archive.",
